Farmer_ID,Name,Age,Gender,Education_Level,Marital_Status,Household_Size,Offfarm_Income,Region,State,Has_Bank_Account,Owns_Smartphone,Uses_Mobile_Money
FARMER_00035,Shane Ponce,56,Male,6,Married,4,0,North West,Katsina,No,No,No
FARMER_00036,Ian Miller,52,Male,12,Widowed,5,175000,South East,Ebonyi,Yes,No,No
FARMER_00037,Thomas Parker,70,Male,14,Married,6,343000,South West,Lagos,Yes,Yes,No
FARMER_00038,Anthony Boyd,48,Male,12,Married,2,0,North East,Adamawa,Yes,No,No
FARMER_00039,William Anthony,22,Male,9,Married,4,175000,North East,Adamawa,Yes,Yes,Yes
FARMER_00040,Tracy Peterson,43,Female,3,Married,5,136000,South East,Anambra,No,Yes,Yes
FARMER_00041,Kristine Beck,20,Female,12,Married,4,0,South East,Anambra,Yes,No,No
FARMER_00042,Amanda Clark,63,Female,18,Divorced,3,0,North East,Bauchi,Yes,Yes,Yes
FARMER_00043,Jordan Church,37,Male,0,Widowed,2,72000,North West,Kano,No,Yes,Yes
FARMER_00044,Linda Rodriguez,19,Female,12,Single,3,0,North Central,Plateau,Yes,No,No
FARMER_00045,Brenda Burch,28,Female,16,Married,3,0,South South,Rivers,No,Yes,No
FARMER_00046,Carl Martin,35,Male,0,Single,3,0,North Central,Kogi,Yes,Yes,Yes
FARMER_00047,Carolyn Mitchell,25,Female,9,Married,7,0,North East,Adamawa,Yes,Yes,Yes
FARMER_00048,Nicholas Lawson,64,Male,12,Married,10,232000,North East,Taraba,Yes,No,No
FARMER_00049,Briana Green,43,Female,16,Divorced,3,509000,South South,Bayelsa,Yes,Yes,Yes
FARMER_00050,Joe Meyer,48,Male,12,Married,6,0,South South,Bayelsa,No,Yes,No
FARMER_00051,Lindsey Smith,26,Female,3,Married,4,96000,North West,Jigawa,No,Yes,Yes
FARMER_00052,Lindsay Thompson,43,Female,12,Married,6,144000,South South,Cross River,Yes,Yes,No
FARMER_00053,Christina Cox,63,Female,0,Married,2,0,North West,Sokoto,Yes,No,No
FARMER_00054,Barbara Hoover,41,Female,6,Widowed,4,118000,North East,Yobe,Yes,No,No
FARMER_00055,Laura Cline,54,Female,3,Widowed,6,0,South West,Ogun,Yes,Yes,No
FARMER_00056,Alexis Holloway,48,Male,14,Married,2,242000,North East,Borno,No,No,No
FARMER_00057,Kristi Silva,55,Female,3,Married,5,133000,South South,Rivers,Yes,No,No
FARMER_00058,Wendy Dougherty,51,Female,9,Married,10,0,South West,Ondo,No,No,No
FARMER_00059,Bill Murray,52,Male,0,Widowed,1,0,South South,Delta,No,No,No
FARMER_00060,Denise Frey,27,Female,12,Married,7,172000,South South,Bayelsa,Yes,Yes,Yes
FARMER_00061,Tracy Olson,37,Female,12,Married,3,0,South South,Rivers,Yes,Yes,Yes
FARMER_00062,Sandra Perez,70,Female,6,Widowed,2,0,North East,Yobe,Yes,No,No
FARMER_00063,Jessica Page,68,Female,12,Divorced,5,0,South South,Bayelsa,Yes,Yes,Yes
FARMER_00064,Elizabeth Smith,64,Female,6,Married,3,84000,North Central,Benue,No,Yes,No
FARMER_00065,William Adams,47,Male,3,Widowed,5,0,North West,Kebbi,Yes,No,No
FARMER_00066,Erika Carroll,49,Female,0,Married,9,0,North Central,Kwara,No,Yes,Yes
FARMER_00067,Michelle Hendricks,70,Female,9,Married,9,0,South West,Ondo,Yes,No,No
FARMER_00068,Rachel Neal,63,Female,3,Married,10,0,North Central,Benue,Yes,No,No
FARMER_00069,Tyler Lewis,64,Male,12,Married,7,0,North East,Yobe,Yes,No,No
FARMER_00070,Tony Stanley,35,Male,12,Married,4,0,South East,Ebonyi,Yes,No,No
FARMER_00071,David Hansen,66,Male,12,Married,3,0,South East,Abia,No,Yes,Yes
FARMER_00072,Shane Scott,36,Male,12,Married,3,0,North East,Borno,Yes,No,No
FARMER_00073,Michael Schmidt,43,Male,12,Married,4,162000,North West,Sokoto,No,No,No
FARMER_00074,Joyce Gordon,51,Female,0,Married,6,0,North East,Borno,No,Yes,No
FARMER_00075,Meagan Thompson,63,Female,3,Married,7,58000,South West,Lagos,Yes,No,No
FARMER_00076,Frederick Harrison,33,Male,0,Married,3,0,South East,Abia,No,Yes,Yes
FARMER_00077,Wanda Moss,46,Female,6,Married,7,0,South East,Enugu,Yes,Yes,No
FARMER_00078,Lindsay Knox,20,Female,0,Married,3,0,North Central,Niger,Yes,Yes,Yes
FARMER_00079,Mary Alexander,40,Female,9,Married,10,154000,North East,Adamawa,Yes,Yes,No
FARMER_00080,Carolyn Ortiz,65,Female,16,Single,3,0,North Central,FCT,Yes,No,No
FARMER_00081,Belinda Rivera MD,60,Female,9,Married,7,132000,South West,Ondo,No,No,No
FARMER_00082,Michele Yu,24,Female,6,Married,2,82000,South South,Bayelsa,No,No,No
FARMER_00083,Carlos Jones,24,Male,9,Married,2,0,North West,Zamfara,No,No,No
FARMER_00084,Felicia Reed,36,Female,0,Single,2,0,South South,Bayelsa,Yes,Yes,No
FARMER_00085,Diana Brown,52,Female,9,Married,6,281000,South South,Akwa Ibom,Yes,No,No
FARMER_00086,Candice Martin,18,Female,0,Single,3,0,North Central,Benue,No,No,No
FARMER_00087,Jasmine Hall,37,Female,3,Married,7,0,North East,Gombe,Yes,No,No
FARMER_00088,Terry Bailey,41,Male,3,Divorced,5,142000,North East,Adamawa,Yes,Yes,Yes
FARMER_00089,Morgan Rios,18,Female,9,Single,2,122000,North East,Bauchi,Yes,Yes,Yes
FARMER_00090,Jody Campbell,61,Female,16,Married,10,234000,North West,Zamfara,Yes,Yes,Yes
FARMER_00091,Amy Davidson,51,Female,6,Widowed,2,70000,South West,Ogun,No,No,No
FARMER_00092,Jonathan Payne,20,Male,12,Divorced,3,0,North East,Taraba,Yes,No,No
FARMER_00093,Bruce Sanchez III,59,Male,0,Married,9,52000,North Central,Plateau,No,Yes,Yes
FARMER_00094,Meredith Terry,62,Female,6,Single,1,0,North Central,FCT,No,Yes,Yes
FARMER_00095,Vanessa Sanford,57,Female,14,Single,3,315000,South West,Oyo,Yes,Yes,No
FARMER_00096,Justin Smith,46,Male,0,Married,2,0,North East,Taraba,No,No,No
FARMER_00097,Christopher Taylor,50,Male,9,Married,5,189000,North Central,FCT,Yes,No,No
FARMER_00098,Amanda Williams,63,Female,0,Married,5,43000,North West,Kano,Yes,Yes,Yes
FARMER_00099,Rebecca Jackson,35,Female,16,Widowed,4,0,South South,Cross River,Yes,No,No
FARMER_00100,Andrea Savage,52,Female,14,Married,2,0,North East,Adamawa,Yes,Yes,Yes
FARMER_00101,Brittany Tate,42,Female,16,Widowed,3,0,South East,Anambra,Yes,Yes,Yes
FARMER_00102,Joseph Frazier,27,Male,0,Single,1,0,North West,Katsina,Yes,No,No
FARMER_00103,Sheri Tanner,38,Female,16,Widowed,4,428000,North East,Adamawa,No,No,No
FARMER_00104,Robert Johnson,65,Male,0,Married,2,28000,North West,Jigawa,Yes,No,No
FARMER_00105,George Ross,52,Male,6,Married,7,141000,North West,Sokoto,Yes,Yes,Yes
FARMER_00106,Kim Alexander,54,Female,14,Widowed,2,261000,North East,Gombe,No,No,No
FARMER_00107,Luis Weeks Jr.,67,Male,16,Married,10,0,North East,Yobe,Yes,No,No
FARMER_00108,Rachel Burke,65,Female,9,Married,8,0,South West,Lagos,Yes,No,No
FARMER_00109,Laura Mejia,48,Female,3,Married,8,54000,North Central,FCT,Yes,Yes,Yes
FARMER_00110,Larry Gallagher,47,Male,3,Married,3,102000,North West,Sokoto,No,No,No
FARMER_00111,Daniel Robbins,62,Male,6,Married,5,0,South South,Bayelsa,Yes,No,No
FARMER_00112,Jenna Chavez,53,Female,0,Married,9,40000,North Central,Kwara,No,Yes,Yes
FARMER_00113,Charlene Foster,43,Female,12,Married,4,0,South West,Osun,Yes,No,No
FARMER_00114,Vanessa Kim,40,Female,16,Married,5,0,North Central,Niger,Yes,Yes,Yes
FARMER_00115,Danielle Olson,48,Female,6,Widowed,3,125000,South West,Ekiti,Yes,Yes,No
FARMER_00116,Robert Clark,52,Male,9,Married,4,0,North East,Borno,No,Yes,Yes
FARMER_00117,Calvin Rose,69,Male,9,Widowed,2,292000,South South,Delta,Yes,Yes,Yes
FARMER_00118,Gary Hale,61,Male,9,Married,10,256000,North Central,Kwara,Yes,Yes,No
FARMER_00119,Deborah Brown,51,Female,6,Married,2,73000,North West,Jigawa,No,No,No
FARMER_00120,Susan Hunt,48,Female,18,Married,6,0,South South,Cross River,No,No,No
FARMER_00121,Pamela Martinez,48,Female,0,Married,6,0,South East,Abia,Yes,Yes,No
FARMER_00122,Jaime Rivera,30,Female,0,Single,5,74000,North West,Kano,Yes,No,No
FARMER_00123,Steven Brown,25,Male,6,Divorced,2,0,South South,Akwa Ibom,Yes,No,No
FARMER_00124,Tiffany Allen,55,Female,12,Married,3,200000,North Central,Kogi,No,No,No
FARMER_00125,Tara Hinton,64,Female,3,Divorced,5,103000,South West,Osun,Yes,Yes,Yes
FARMER_00126,Jason Miller,47,Male,6,Married,8,0,South East,Anambra,No,Yes,Yes
FARMER_00127,Sheila Perez,53,Female,9,Married,10,0,South West,Osun,No,No,No
FARMER_00128,Kevin Burnett,54,Male,12,Married,9,265000,North Central,FCT,No,Yes,Yes
FARMER_00129,Edward Willis,27,Male,12,Widowed,4,0,North Central,FCT,Yes,Yes,Yes
FARMER_00130,Patricia Mclean,38,Female,9,Single,3,170000,South West,Osun,No,Yes,No
FARMER_00131,Kevin Joseph,60,Male,6,Widowed,5,67000,North West,Kano,Yes,No,No
FARMER_00132,Charles Myers,20,Male,14,Single,2,230000,North Central,Kwara,No,Yes,Yes
FARMER_00133,Elizabeth Mitchell,56,Female,6,Married,4,0,South West,Ekiti,No,Yes,No
FARMER_00134,Brandon Kaiser,35,Male,12,Married,3,297000,North West,Kaduna,No,No,No
FARMER_00135,Mary Lucero,46,Female,12,Widowed,2,255000,North Central,Nasarawa,No,Yes,No
FARMER_00136,Heather Rivera DVM,27,Female,14,Married,7,0,South South,Edo,No,No,No
FARMER_00137,Debra Webb,28,Female,9,Single,2,0,North Central,FCT,No,No,No
FARMER_00138,Jared Navarro,56,Male,3,Married,10,0,South East,Enugu,Yes,Yes,Yes
FARMER_00139,Mr. Jason Day,53,Male,3,Married,6,91000,South East,Enugu,No,No,No
FARMER_00140,Cindy Harris,31,Female,6,Married,6,0,South East,Enugu,Yes,Yes,Yes
FARMER_00141,Cody White,44,Male,14,Married,7,0,North East,Adamawa,Yes,No,No
FARMER_00142,Sarah Peters,25,Female,12,Married,2,105000,North Central,Plateau,No,Yes,Yes
FARMER_00143,David Burns,24,Male,12,Married,3,241000,North West,Kano,Yes,Yes,Yes
FARMER_00144,Morgan Jackson,62,Female,0,Married,9,0,North East,Gombe,Yes,No,No
FARMER_00145,Andrew Huff,57,Male,9,Widowed,4,142000,South West,Ondo,No,Yes,No
FARMER_00146,Dalton Barry,66,Male,12,Married,6,216000,South West,Ekiti,Yes,No,No
FARMER_00147,Terry Hill,58,Female,12,Married,8,0,South South,Edo,Yes,Yes,Yes
FARMER_00148,Dustin Snow,32,Male,6,Single,4,0,South East,Imo,No,Yes,No
FARMER_00149,Jeremy Beck,52,Male,6,Married,9,0,North Central,Kogi,Yes,No,No
FARMER_00150,Brian Hickman,65,Male,12,Married,4,240000,South South,Rivers,Yes,Yes,Yes
FARMER_00151,Amber Anderson,48,Female,0,Widowed,1,65000,North Central,Nasarawa,No,No,No
FARMER_00152,Oscar Ross,20,Male,12,Single,3,0,South East,Enugu,No,No,No
FARMER_00153,Vanessa Mcknight,29,Female,0,Divorced,2,0,South South,Edo,No,Yes,Yes
FARMER_00154,Adam Davis,68,Male,9,Single,4,207000,North Central,Kwara,Yes,Yes,Yes
FARMER_00155,David Hicks,55,Male,6,Single,5,0,South South,Rivers,Yes,No,No
FARMER_00156,Dylan Mcintosh,38,Male,18,Married,3,513000,South East,Enugu,No,No,No
FARMER_00157,Benjamin Pace,31,Male,12,Married,5,135000,South South,Akwa Ibom,Yes,No,No
FARMER_00158,Timothy Michael,44,Male,12,Widowed,2,0,North West,Kebbi,Yes,Yes,Yes
FARMER_00159,Katherine Bowen,33,Female,6,Married,6,0,North Central,FCT,No,Yes,Yes
FARMER_00160,Todd Thomas,62,Male,12,Single,3,0,South East,Anambra,Yes,No,No
FARMER_00161,Ashley Browning,50,Female,3,Single,3,0,North West,Sokoto,Yes,Yes,No
FARMER_00162,Kevin Phillips,59,Male,3,Single,2,0,North East,Taraba,No,Yes,Yes
FARMER_00163,Nicholas Johnson,62,Male,0,Married,7,0,South West,Osun,Yes,Yes,Yes
FARMER_00164,Priscilla Meyers,25,Female,16,Single,5,184000,North East,Gombe,Yes,Yes,Yes
FARMER_00165,Daniel Smith,23,Male,14,Married,3,0,North West,Kano,Yes,No,No
FARMER_00166,Alexis Miller,20,Female,14,Single,3,0,North East,Gombe,Yes,Yes,Yes
FARMER_00167,Mary Gallegos,52,Female,14,Divorced,6,0,North West,Kaduna,No,No,No
FARMER_00168,Robin Freeman,56,Female,0,Married,3,68000,South South,Delta,No,Yes,Yes
FARMER_00169,Scott Johnson,51,Male,12,Widowed,2,0,North East,Yobe,Yes,No,No
FARMER_00170,Wendy Hill,42,Female,6,Married,9,91000,South West,Ondo,Yes,Yes,No
FARMER_00171,Teresa Russell,35,Female,12,Divorced,4,233000,North Central,Niger,No,Yes,Yes
FARMER_00172,Chelsea Martinez,52,Female,14,Married,2,0,South South,Akwa Ibom,No,No,No
FARMER_00173,Amber Lane,42,Female,12,Married,2,109000,South West,Lagos,Yes,No,No
FARMER_00174,Sara Fitzpatrick,38,Female,9,Married,2,0,North Central,Benue,No,Yes,Yes
FARMER_00175,Christine Pace,29,Female,3,Divorced,6,0,North West,Kaduna,No,Yes,Yes
FARMER_00176,Jordan Hurst,64,Female,12,Single,1,160000,North East,Bauchi,No,Yes,Yes
FARMER_00177,Derek Estrada,31,Male,0,Married,4,38000,South East,Anambra,Yes,Yes,No
FARMER_00178,Jose Shaw,25,Male,14,Single,4,0,North West,Jigawa,Yes,No,No
FARMER_00179,Jennifer Fernandez,56,Female,6,Single,1,0,South South,Edo,No,No,No
FARMER_00180,Joshua Brown Jr.,54,Male,0,Single,5,0,North East,Gombe,No,No,No
FARMER_00181,Kristen Kim,55,Female,0,Married,7,0,North Central,Niger,No,No,No
FARMER_00182,Penny Owens,39,Female,0,Married,6,38000,North West,Kebbi,Yes,Yes,No
FARMER_00183,Derek Simon,54,Male,9,Widowed,5,0,South South,Edo,Yes,Yes,No
FARMER_00184,Jennifer Lloyd,28,Female,12,Single,2,198000,South West,Ondo,No,No,No
FARMER_00185,Kyle Strickland,59,Male,3,Married,9,148000,North West,Katsina,No,Yes,Yes
FARMER_00186,Kimberly Duran,46,Female,6,Widowed,2,58000,North West,Jigawa,No,Yes,Yes
FARMER_00187,Duane Smith,46,Male,3,Married,8,51000,South West,Ondo,No,No,No
FARMER_00188,Amanda Williams,28,Female,12,Married,5,144000,North Central,Kogi,No,No,No
FARMER_00189,Sarah Rocha,49,Female,18,Married,2,0,North West,Zamfara,Yes,Yes,Yes
FARMER_00190,Trevor Johnson,24,Male,12,Single,1,140000,South West,Ogun,No,Yes,No
FARMER_00191,Eric Schroeder,51,Male,0,Married,4,45000,South South,Akwa Ibom,No,No,No
FARMER_00192,Tammy Ortiz,68,Female,12,Widowed,1,167000,South South,Cross River,Yes,Yes,Yes
FARMER_00193,Erik Lee Jr.,24,Male,14,Married,2,324000,South South,Cross River,Yes,Yes,Yes
FARMER_00194,Timothy Reyes,41,Male,12,Married,3,158000,North East,Taraba,Yes,Yes,No
FARMER_00195,Jenny Pittman,50,Female,12,Married,4,0,North West,Kebbi,Yes,No,No
FARMER_00196,Paul Bell,25,Male,16,Single,2,422000,South West,Osun,Yes,Yes,Yes
FARMER_00197,Richard Dominguez,38,Male,6,Married,5,0,North East,Borno,Yes,Yes,Yes
FARMER_00198,Carla Vaughn,61,Female,18,Divorced,2,0,North West,Sokoto,Yes,Yes,Yes
FARMER_00199,Jamie Lawrence,61,Male,6,Divorced,5,68000,South East,Abia,Yes,Yes,Yes
FARMER_00200,Valerie Foley,57,Female,12,Widowed,1,0,South East,Anambra,No,Yes,No
FARMER_00201,Tracy Wiggins,70,Female,9,Married,3,0,South West,Osun,No,No,No
FARMER_00202,Dr. Mary Williamson MD,47,Female,14,Married,7,0,North East,Adamawa,Yes,Yes,Yes
FARMER_00203,Melissa Alvarado,57,Female,6,Married,9,0,South South,Akwa Ibom,Yes,No,No
FARMER_00204,Mark Smith,39,Male,6,Married,4,0,North East,Taraba,No,No,No
FARMER_00205,Cynthia Martin,68,Female,12,Married,4,0,North West,Sokoto,Yes,Yes,Yes
FARMER_00206,Andrew Anderson,40,Male,9,Married,7,194000,South West,Ogun,Yes,Yes,Yes
FARMER_00207,Donna Lopez,66,Female,0,Married,7,0,North Central,Niger,No,No,No
FARMER_00208,Edwin Bonilla,26,Male,18,Widowed,5,0,North Central,FCT,No,No,No
FARMER_00209,Tracy Meadows,70,Female,0,Married,6,0,North West,Sokoto,No,Yes,Yes
FARMER_00210,Beth Turner,64,Female,6,Widowed,2,0,North Central,Benue,Yes,No,No
FARMER_00211,Michaela Miller,61,Female,6,Married,5,51000,North East,Borno,No,Yes,Yes
FARMER_00212,Jeanette Fox,31,Female,12,Divorced,5,0,North Central,Benue,Yes,Yes,Yes
FARMER_00213,Daniel Stanley,25,Male,3,Single,2,115000,South East,Abia,Yes,Yes,Yes
FARMER_00214,Jennifer Hamilton,62,Female,18,Married,3,388000,South West,Osun,Yes,No,No
FARMER_00215,Brent Cortez,68,Male,9,Widowed,6,0,North East,Adamawa,Yes,No,No
FARMER_00216,Patricia Torres,23,Female,9,Single,2,222000,South West,Ondo,No,No,No
FARMER_00217,Mackenzie Sims,65,Female,6,Married,3,54000,North East,Borno,Yes,No,No
FARMER_00218,David Parker,18,Male,12,Single,2,217000,South South,Bayelsa,Yes,Yes,Yes
FARMER_00219,Sarah Allen,51,Female,12,Married,4,137000,South South,Cross River,Yes,Yes,No
FARMER_00220,Mrs. Kimberly Smith,41,Female,6,Single,3,0,North Central,Benue,Yes,No,No
FARMER_00221,Kevin Owens,20,Male,12,Single,3,0,South West,Oyo,Yes,Yes,Yes
FARMER_00222,Thomas Velasquez,56,Male,12,Married,8,0,North West,Zamfara,No,Yes,Yes
FARMER_00223,Linda Nielsen,35,Female,12,Married,4,0,North Central,Nasarawa,Yes,No,No
FARMER_00224,Elizabeth Sanchez,30,Female,0,Married,6,0,South East,Anambra,No,No,No
FARMER_00225,Heather Williams,55,Female,16,Married,8,217000,North Central,Niger,Yes,No,No
FARMER_00226,Aaron Lozano,49,Male,9,Married,3,0,South East,Enugu,No,No,No
FARMER_00227,Christopher Smith,46,Male,9,Married,10,0,North Central,Kwara,No,Yes,Yes
FARMER_00228,Mary Morgan,22,Female,6,Single,3,83000,South South,Bayelsa,Yes,Yes,Yes
FARMER_00229,Shannon Harmon,68,Female,6,Married,2,0,South South,Delta,No,Yes,Yes
FARMER_00230,Gabriel Palmer,23,Male,12,Single,2,0,South South,Rivers,No,Yes,No
FARMER_00231,Nicole Austin,50,Female,16,Married,8,514000,North Central,Kogi,No,Yes,Yes
FARMER_00232,Christopher Aguirre,23,Male,12,Married,2,231000,North East,Gombe,Yes,Yes,Yes
FARMER_00233,Phyllis Stevens,66,Female,9,Widowed,4,292000,North East,Adamawa,Yes,Yes,Yes
FARMER_00234,Mr. Ronnie Russo,30,Male,3,Married,2,69000,South South,Delta,Yes,No,No
FARMER_00235,Regina Carlson,41,Female,6,Single,1,0,South South,Cross River,Yes,No,No
FARMER_00236,Marc Cardenas,20,Male,6,Married,3,0,North West,Zamfara,No,No,No
FARMER_00237,Patricia Roman,33,Female,0,Married,4,0,North West,Kaduna,No,Yes,No
FARMER_00238,Karen Lopez,62,Female,16,Married,10,330000,North West,Kebbi,Yes,No,No
FARMER_00239,Ashley Reed,59,Female,0,Married,2,0,North Central,Nasarawa,Yes,Yes,Yes
FARMER_00240,Sarah Mitchell,40,Female,3,Widowed,4,0,North East,Borno,Yes,No,No
FARMER_00241,John Williamson,27,Male,6,Single,4,0,North East,Borno,Yes,No,No
FARMER_00242,Jonathan Stevens,51,Male,12,Married,2,270000,South West,Lagos,Yes,No,No
FARMER_00243,Steven Gutierrez,25,Male,0,Married,6,0,North West,Sokoto,Yes,Yes,Yes
FARMER_00244,John Wong,42,Male,0,Married,8,30000,North East,Bauchi,Yes,No,No
FARMER_00245,Jesse Peterson,43,Male,6,Married,7,0,North Central,Benue,Yes,No,No
FARMER_00246,Alice Brown,39,Female,12,Married,4,0,South West,Ondo,Yes,No,No
FARMER_00247,Joanna Garcia,47,Female,18,Widowed,4,0,South South,Cross River,No,No,No
FARMER_00248,Joy Lee,28,Female,14,Single,4,0,North Central,Kwara,Yes,No,No
FARMER_00249,Rebecca Stevenson,37,Female,14,Married,7,0,South South,Edo,No,Yes,No
FARMER_00250,Scott Higgins,38,Male,0,Married,3,0,North West,Kebbi,Yes,No,No
FARMER_00251,Anthony Franklin,50,Male,12,Married,9,170000,North East,Yobe,Yes,No,No
FARMER_00252,Kelsey Valdez,44,Female,0,Married,5,0,North West,Kaduna,No,Yes,No
FARMER_00253,Betty Burns,29,Female,16,Married,5,424000,South South,Cross River,Yes,No,No
FARMER_00254,Courtney Sims,64,Female,12,Married,6,129000,North East,Adamawa,No,No,No
FARMER_00255,Ryan Chang,60,Male,0,Married,7,0,North East,Yobe,Yes,Yes,Yes
FARMER_00256,Alejandro Andrews,57,Male,12,Married,7,227000,North East,Bauchi,Yes,No,No
FARMER_00257,Kristina Martin,35,Female,0,Married,6,44000,North Central,FCT,Yes,Yes,No
FARMER_00258,Chelsea Garcia,25,Female,16,Single,2,179000,North Central,Benue,No,No,No
FARMER_00259,Jonathan Jones,60,Male,9,Married,9,0,North West,Kaduna,Yes,No,No
FARMER_00260,Daniel Adkins,59,Male,14,Married,4,302000,South West,Osun,No,Yes,No
FARMER_00261,Reginald Lopez,41,Male,0,Married,8,34000,South South,Edo,Yes,Yes,Yes
FARMER_00262,Sherry Thomas,62,Female,12,Widowed,6,163000,North East,Bauchi,Yes,Yes,Yes
FARMER_00263,Tiffany Crawford,34,Female,3,Married,4,83000,North East,Taraba,No,No,No
FARMER_00264,Andrew Sullivan,46,Male,3,Married,7,92000,North West,Kaduna,Yes,Yes,Yes
FARMER_00265,Steven Gilbert,36,Male,0,Widowed,2,0,North Central,Nasarawa,Yes,No,No
FARMER_00266,Jessica Jennings,63,Female,6,Married,8,0,South West,Oyo,Yes,No,No
FARMER_00267,Kenneth Perry,39,Male,0,Married,6,0,South East,Anambra,No,Yes,Yes
FARMER_00268,Tiffany Lewis,52,Female,14,Married,3,398000,South South,Edo,Yes,No,No
FARMER_00269,Brian Ferrell,47,Male,3,Married,6,0,North East,Bauchi,No,No,No
FARMER_00270,Gina Martinez,29,Female,0,Married,3,0,North Central,FCT,Yes,Yes,Yes
FARMER_00271,Joan Williams,40,Female,12,Married,4,0,South West,Osun,Yes,Yes,Yes
FARMER_00272,Elizabeth Edwards,25,Female,16,Widowed,6,293000,North West,Jigawa,Yes,No,No
FARMER_00273,Cheryl Kane,48,Female,12,Widowed,2,111000,South West,Ekiti,Yes,No,No
FARMER_00274,Alexander Valencia,18,Male,12,Single,1,157000,North West,Kebbi,Yes,No,No
FARMER_00275,Sherry Campbell,57,Female,3,Married,4,0,North East,Taraba,Yes,No,No
FARMER_00276,Spencer West,45,Male,14,Married,6,0,North East,Yobe,Yes,No,No
FARMER_00277,Crystal Edwards,29,Female,6,Married,5,86000,North West,Zamfara,Yes,Yes,No
FARMER_00278,Daniel Smith,34,Male,12,Widowed,3,0,South South,Akwa Ibom,No,Yes,Yes
FARMER_00279,Melissa White,67,Female,16,Married,2,0,South South,Delta,Yes,No,No
FARMER_00280,Hannah Smith,44,Female,0,Married,3,0,North Central,Plateau,No,Yes,Yes
FARMER_00281,Darren Brennan,48,Male,0,Single,4,33000,North East,Bauchi,Yes,No,No
FARMER_00282,Melvin Smith,55,Male,0,Single,5,57000,North Central,Nasarawa,Yes,Yes,No
FARMER_00283,April Snyder,28,Female,16,Single,5,0,North East,Gombe,No,Yes,Yes
